conteudo_id,titulo,tipo,categoria,nivel,carga_horaria_min,data_publicacao,descricao,autor
11,Análise Prática e Demonstração de Prevenção contra Vazamentos e Segurança em APIs,Vídeo,Segurança & Governança,Intermediário,46,2025-12-10,"Vídeo prático e objetivo apresentando a aplicação de Prevenção contra Vazamentos e Segurança em APIs. Em formato hands-on com nível intermediário, o conteúdo demonstra resolução de problemas reais, passo a passo detalhado e dicas essenciais de implementação para acelerar seu domínio em Segurança & Governança.",Prof. Diego Henrique Barros
12,Papo de Dados Ep. 75: Desvendando Auditoria e Monitoramento de Logs de Acesso,Podcast,Segurança & Governança,Avançado,65,2025-04-13,"Episódio enriquecedor com debates aprofundados sobre Auditoria e Monitoramento de Logs de Acesso. Nesta gravação para o público de nível avançado, especialistas compartilham experiências práticas, desafios reais do mercado e reflexões sobre impactos estratégicos e técnicos em Segurança & Governança.",Prof. Lucas Fernandes Prado
13,Arquitetura & Código Ep. 123: Inovações em Design de Dashboards e Eliminação de Chartjunk,Podcast,Business Intelligence,Básico,33,2025-10-26,"Episódio enriquecedor com debates aprofundados sobre Design de Dashboards e Eliminação de Chartjunk. Nesta gravação para o público de nível básico, especialistas compartilham experiências práticas, desafios reais do mercado e reflexões sobre impactos estratégicos e técnicos em Business Intelligence.",Eng. Patrícia Moreira Viana
14,Arquitetura & Código Ep. 38: Inovações em Orquestração de Microsserviços com Kubernetes,Podcast,DevOps & Cloud,Básico,82,2024-01-15,"Episódio enriquecedor com debates aprofundados sobre Orquestração de Microsserviços com Kubernetes. Nesta gravação para o público de nível básico, especialistas compartilham experiências práticas, desafios reais do mercado e reflexões sobre impactos estratégicos e técnicos em DevOps & Cloud.",Eng. Rodrigo Alves Mendonça
15,Curso Completo de Governança de Dados para Aplicações de IA: Da Teoria à Prática,Curso,Segurança & Governança,Avançado,2215,2024-05-03,"Neste curso aprofundado, você aprenderá de forma estruturada sobre Governança de Dados para Aplicações de IA. O treinamento abrange tópicos de nível avançado, exercícios práticos e construção de projetos completos. Indicado para profissionais que desejam dominar ferramentas modernas e padrões consolidados em Segurança & Governança.",Dr. Fernando Zanin Pacheco
16,Curso Completo de Filtros Interativos e Exploração Granular em BI: Da Teoria à Prática,Curso,Business Intelligence,Básico,683,2025-12-07,"Neste curso aprofundado, você aprenderá de forma estruturada sobre Filtros Interativos e Exploração Granular em BI. O treinamento abrange tópicos de nível básico, exercícios práticos e construção de projetos completos. Indicado para profissionais que desejam dominar ferramentas modernas e padrões consolidados em Business Intelligence.",Dra. Mariana Vasconcelos
17,Melhores Práticas e Arquitetura de Governança de Dados para Aplicações de IA,Vídeo,Segurança & Governança,Básico,28,2024-03-27,"Vídeo prático e objetivo apresentando a aplicação de Governança de Dados para Aplicações de IA. Em formato hands-on com nível básico, o conteúdo demonstra resolução de problemas reais, passo a passo detalhado e dicas essenciais de implementação para acelerar seu domínio em Segurança & Governança.",Dr. Marcelo Silveira Neves
18,Melhores Práticas e Arquitetura de Estratégias de Indexação e Performance de Bancos,Vídeo,Banco de Dados,Intermediário,54,2026-04-07,"Vídeo prático e objetivo apresentando a aplicação de Estratégias de Indexação e Performance de Bancos. Em formato hands-on com nível intermediário, o conteúdo demonstra resolução de problemas reais, passo a passo detalhado e dicas essenciais de implementação para acelerar seu domínio em Banco de Dados.",Dra. Mariana Vasconcelos
19,"Solucionando Desafios do Dia a Dia em Python Avançado: POO, Decorators e Geradores",Vídeo,Programação & Software,Básico,13,2026-05-03,"Vídeo prático e objetivo apresentando a aplicação de Python Avançado: POO, Decorators e Geradores. Em formato hands-on com nível básico, o conteúdo demonstra resolução de problemas reais, passo a passo detalhado e dicas essenciais de implementação para acelerar seu domínio em Programação & Software.",Eng. Thiago Pinheiro Borges
20,Estudo Técnico e Decisões de Arquitetura em Pipelines de Ingestão Batch e Streaming,Artigo,Engenharia de Dados,Avançado,26,2024-11-06,"Artigo técnico detalhado que explora Pipelines de Ingestão Batch e Streaming sob uma ótica técnica e conceitual. Focado em nível avançado, aborda trade-offs arquiteturais, vantagens competitivas, padrões recomendados e diretrizes fundamentais para especialistas que atuam em Engenharia de Dados.",Eng. Vanessa Cristina Ramos
21,Análise Comparativa e Padrões Recomendados em Embeddings Vetoriais e Representação Semântica,Artigo,Inteligência Artificial,Intermediário,9,2025-08-28,"Artigo técnico detalhado que explora Embeddings Vetoriais e Representação Semântica sob uma ótica técnica e conceitual. Focado em nível intermediário, aborda trade-offs arquiteturais, vantagens competitivas, padrões recomendados e diretrizes fundamentais para especialistas que atuam em Inteligência Artificial.",Dra. Renata Figueiredo Melo
22,Solucionando Desafios do Dia a Dia em Refatoração de Código e Padrões PEP 8,Vídeo,Programação & Software,Intermediário,73,2025-12-28,"Vídeo prático e objetivo apresentando a aplicação de Refatoração de Código e Padrões PEP 8. Em formato hands-on com nível intermediário, o conteúdo demonstra resolução de problemas reais, passo a passo detalhado e dicas essenciais de implementação para acelerar seu domínio em Programação & Software.",Eng. Rodrigo Alves Mendonça
23,Tech Talk Ep. 12: Melhores Práticas em Pipelines e Transformações com Apache Hop,Podcast,Engenharia de Dados,Avançado,31,2025-04-07,"Episódio enriquecedor com debates aprofundados sobre Pipelines e Transformações com Apache Hop. Nesta gravação para o público de nível avançado, especialistas compartilham experiências práticas, desafios reais do mercado e reflexões sobre impactos estratégicos e técnicos em Engenharia de Dados.",Profa. Beatriz Helena Nogueira
24,Deep Dive Ep. 56: Casos de Sucesso em Orquestração de Workflows com Apache Airflow,Podcast,Engenharia de Dados,Avançado,42,2024-06-13,"Episódio enriquecedor com debates aprofundados sobre Orquestração de Workflows com Apache Airflow. Nesta gravação para o público de nível avançado, especialistas compartilham experiências práticas, desafios reais do mercado e reflexões sobre impactos estratégicos e técnicos em Engenharia de Dados.",Eng. Felipe Siqueira Castro
25,"Arquitetura & Código Ep. 21: Inovações em Métricas de Engajamento, Retenção e Conversão",Podcast,Business Intelligence,Avançado,74,2024-11-08,"Episódio enriquecedor com debates aprofundados sobre Métricas de Engajamento, Retenção e Conversão. Nesta gravação para o público de nível avançado, especialistas compartilham experiências práticas, desafios reais do mercado e reflexões sobre impactos estratégicos e técnicos em Business Intelligence.",Eng. Felipe Siqueira Castro
26,Estudo Técnico e Decisões de Arquitetura em Consultas e Índices GIN com JSONB no PostgreSQL,Artigo,Banco de Dados,Intermediário,14,2025-04-23,"Artigo técnico detalhado que explora Consultas e Índices GIN com JSONB no PostgreSQL sob uma ótica técnica e conceitual. Focado em nível intermediário, aborda trade-offs arquiteturais, vantagens competitivas, padrões recomendados e diretrizes fundamentais para especialistas que atuam em Banco de Dados.",Eng. Felipe Siqueira Castro
27,Análise Comparativa e Padrões Recomendados em Gestão de Metadados e Qualidade de Dados Mestres,Artigo,Segurança & Governança,Básico,30,2024-10-07,"Artigo técnico detalhado que explora Gestão de Metadados e Qualidade de Dados Mestres sob uma ótica técnica e conceitual. Focado em nível básico, aborda trade-offs arquiteturais, vantagens competitivas, padrões recomendados e diretrizes fundamentais para especialistas que atuam em Segurança & Governança.",Prof. Lucas Fernandes Prado
28,Solucionando Desafios do Dia a Dia em Análise Exploratória de Dados com Pandas,Vídeo,Ciência de Dados,Básico,36,2025-07-12,"Vídeo prático e objetivo apresentando a aplicação de Análise Exploratória de Dados com Pandas. Em formato hands-on com nível básico, o conteúdo demonstra resolução de problemas reais, passo a passo detalhado e dicas essenciais de implementação para acelerar seu domínio em Ciência de Dados.",Eng. Felipe Siqueira Castro
29,Construindo Aplicações Robustas com Infraestrutura como Código com Terraform,Curso,DevOps & Cloud,Intermediário,1410,2025-07-05,"Neste curso aprofundado, você aprenderá de forma estruturada sobre Infraestrutura como Código com Terraform. O treinamento abrange tópicos de nível intermediário, exercícios práticos e construção de projetos completos. Indicado para profissionais que desejam dominar ferramentas modernas e padrões consolidados em DevOps & Cloud.",Profa. Beatriz Helena Nogueira
30,Masterclass de Monitoramento de Performance e Acompanhamento de Metas para Projetos Reais,Curso,Business Intelligence,Avançado,2407,2025-07-30,"Neste curso aprofundado, você aprenderá de forma estruturada sobre Monitoramento de Performance e Acompanhamento de Metas. O treinamento abrange tópicos de nível avançado, exercícios práticos e construção de projetos completos. Indicado para profissionais que desejam dominar ferramentas modernas e padrões consolidados em Business Intelligence.",Eng. Patrícia Moreira Viana
31,Solucionando Desafios do Dia a Dia em Visão Computacional e Processamento de Imagens,Vídeo,Inteligência Artificial,Básico,16,2025-12-01,"Vídeo prático e objetivo apresentando a aplicação de Visão Computacional e Processamento de Imagens. Em formato hands-on com nível básico, o conteúdo demonstra resolução de problemas reais, passo a passo detalhado e dicas essenciais de implementação para acelerar seu domínio em Inteligência Artificial.",Dra. Camila Guimarães Rocha
32,Como Obter Alta Performance Utilizando Armazenamento de Documentos com MongoDB,Artigo,Banco de Dados,Avançado,23,2026-05-07,"Artigo técnico detalhado que explora Armazenamento de Documentos com MongoDB sob uma ótica técnica e conceitual. Focado em nível avançado, aborda trade-offs arquiteturais, vantagens competitivas, padrões recomendados e diretrizes fundamentais para especialistas que atuam em Banco de Dados.",Eng. Rodrigo Alves Mendonça
33,Como Obter Alta Performance Utilizando Infraestrutura como Código com Terraform,Artigo,DevOps & Cloud,Intermediário,5,2025-02-25,"Artigo técnico detalhado que explora Infraestrutura como Código com Terraform sob uma ótica técnica e conceitual. Focado em nível intermediário, aborda trade-offs arquiteturais, vantagens competitivas, padrões recomendados e diretrizes fundamentais para especialistas que atuam em DevOps & Cloud.",Eng. Patrícia Moreira Viana
34,Tech Talk Ep. 6: Melhores Práticas em Pipelines de Ingestão Batch e Streaming,Podcast,Engenharia de Dados,Básico,64,2024-05-05,"Episódio enriquecedor com debates aprofundados sobre Pipelines de Ingestão Batch e Streaming. Nesta gravação para o público de nível básico, especialistas compartilham experiências práticas, desafios reais do mercado e reflexões sobre impactos estratégicos e técnicos em Engenharia de Dados.",Prof. Lucas Fernandes Prado
35,Análise Comparativa e Padrões Recomendados em Automação de Servidores Linux e Acesso SSH,Artigo,DevOps & Cloud,Avançado,17,2024-11-19,"Artigo técnico detalhado que explora Automação de Servidores Linux e Acesso SSH sob uma ótica técnica e conceitual. Focado em nível avançado, aborda trade-offs arquiteturais, vantagens competitivas, padrões recomendados e diretrizes fundamentais para especialistas que atuam em DevOps & Cloud.",Dr. Fernando Zanin Pacheco
36,Como Implementar Auditoria e Monitoramento de Logs de Acesso Passo a Passo,Vídeo,Segurança & Governança,Avançado,109,2025-11-28,"Vídeo prático e objetivo apresentando a aplicação de Auditoria e Monitoramento de Logs de Acesso. Em formato hands-on com nível avançado, o conteúdo demonstra resolução de problemas reais, passo a passo detalhado e dicas essenciais de implementação para acelerar seu domínio em Segurança & Governança.",Eng. Patrícia Moreira Viana
37,Arquitetura & Código Ep. 7: Inovações em Filtros Interativos e Exploração Granular em BI,Podcast,Business Intelligence,Básico,61,2025-12-12,"Episódio enriquecedor com debates aprofundados sobre Filtros Interativos e Exploração Granular em BI. Nesta gravação para o público de nível básico, especialistas compartilham experiências práticas, desafios reais do mercado e reflexões sobre impactos estratégicos e técnicos em Business Intelligence.",Dra. Juliana Martins Fontes
38,Como Obter Alta Performance Utilizando Visão Computacional e Processamento de Imagens,Artigo,Inteligência Artificial,Intermediário,5,2025-07-09,"Artigo técnico detalhado que explora Visão Computacional e Processamento de Imagens sob uma ótica técnica e conceitual. Focado em nível intermediário, aborda trade-offs arquiteturais, vantagens competitivas, padrões recomendados e diretrizes fundamentais para especialistas que atuam em Inteligência Artificial.",Dra. Juliana Martins Fontes
39,Melhores Práticas e Arquitetura de Processamento Distribuído com Apache Spark,Vídeo,Engenharia de Dados,Básico,17,2024-02-08,"Vídeo prático e objetivo apresentando a aplicação de Processamento Distribuído com Apache Spark. Em formato hands-on com nível básico, o conteúdo demonstra resolução de problemas reais, passo a passo detalhado e dicas essenciais de implementação para acelerar seu domínio em Engenharia de Dados.",Dra. Mariana Vasconcelos
40,Análise Comparativa e Padrões Recomendados em Dashboards Estratégicos no Apache Superset,Artigo,Business Intelligence,Intermediário,16,2025-03-01,"Artigo técnico detalhado que explora Dashboards Estratégicos no Apache Superset sob uma ótica técnica e conceitual. Focado em nível intermediário, aborda trade-offs arquiteturais, vantagens competitivas, padrões recomendados e diretrizes fundamentais para especialistas que atuam em Business Intelligence.",Profa. Larissa Duarte Toledo
41,Tech Talk Ep. 33: Melhores Práticas em Clusterização e Segmentação de Perfis,Podcast,Ciência de Dados,Avançado,48,2025-07-09,"Episódio enriquecedor com debates aprofundados sobre Clusterização e Segmentação de Perfis. Nesta gravação para o público de nível avançado, especialistas compartilham experiências práticas, desafios reais do mercado e reflexões sobre impactos estratégicos e técnicos em Ciência de Dados.",Prof. Elmo Batista de Faria
42,Papo de Dados Ep. 5: Desvendando Visualizações com Big Numbers e Gráficos Eficazes,Podcast,Business Intelligence,Básico,60,2025-07-08,"Episódio enriquecedor com debates aprofundados sobre Visualizações com Big Numbers e Gráficos Eficazes. Nesta gravação para o público de nível básico, especialistas compartilham experiências práticas, desafios reais do mercado e reflexões sobre impactos estratégicos e técnicos em Business Intelligence.",Prof. Diego Henrique Barros
43,Deep Dive Ep. 23: Casos de Sucesso em Filtros Interativos e Exploração Granular em BI,Podcast,Business Intelligence,Básico,47,2025-07-20,"Episódio enriquecedor com debates aprofundados sobre Filtros Interativos e Exploração Granular em BI. Nesta gravação para o público de nível básico, especialistas compartilham experiências práticas, desafios reais do mercado e reflexões sobre impactos estratégicos e técnicos em Business Intelligence.",Dra. Camila Guimarães Rocha
44,Como Obter Alta Performance Utilizando Segurança de Redes e Controle de Acesso,Artigo,DevOps & Cloud,Avançado,26,2026-05-10,"Artigo técnico detalhado que explora Segurança de Redes e Controle de Acesso sob uma ótica técnica e conceitual. Focado em nível avançado, aborda trade-offs arquiteturais, vantagens competitivas, padrões recomendados e diretrizes fundamentais para especialistas que atuam em DevOps & Cloud.",Prof. Elmo Batista de Faria
45,Melhores Práticas e Arquitetura de Adequação à LGPD e Proteção de Dados Pessoais,Vídeo,Segurança & Governança,Básico,35,2025-12-25,"Vídeo prático e objetivo apresentando a aplicação de Adequação à LGPD e Proteção de Dados Pessoais. Em formato hands-on com nível básico, o conteúdo demonstra resolução de problemas reais, passo a passo detalhado e dicas essenciais de implementação para acelerar seu domínio em Segurança & Governança.",Eng. Thiago Pinheiro Borges
46,Análise Prática e Demonstração de Filtros Interativos e Exploração Granular em BI,Vídeo,Business Intelligence,Básico,39,2025-10-14,"Vídeo prático e objetivo apresentando a aplicação de Filtros Interativos e Exploração Granular em BI. Em formato hands-on com nível básico, o conteúdo demonstra resolução de problemas reais, passo a passo detalhado e dicas essenciais de implementação para acelerar seu domínio em Business Intelligence.",Eng. Vanessa Cristina Ramos
47,Arquitetura & Código Ep. 40: Inovações em Modelagem e Agregações Analíticas no SQL Lab,Podcast,Business Intelligence,Básico,87,2024-01-06,"Episódio enriquecedor com debates aprofundados sobre Modelagem e Agregações Analíticas no SQL Lab. Nesta gravação para o público de nível básico, especialistas compartilham experiências práticas, desafios reais do mercado e reflexões sobre impactos estratégicos e técnicos em Business Intelligence.",Eng. Thiago Pinheiro Borges
48,Data Insights Ep. 96: Experiências Reais com Orquestração de Workflows com Apache Airflow,Podcast,Engenharia de Dados,Básico,58,2024-05-21,"Episódio enriquecedor com debates aprofundados sobre Orquestração de Workflows com Apache Airflow. Nesta gravação para o público de nível básico, especialistas compartilham experiências práticas, desafios reais do mercado e reflexões sobre impactos estratégicos e técnicos em Engenharia de Dados.",Prof. Lucas Fernandes Prado
49,Construindo Aplicações Robustas com Experimentação e Testes A/B Orientados a Dados,Curso,Ciência de Dados,Intermediário,1002,2025-01-24,"Neste curso aprofundado, você aprenderá de forma estruturada sobre Experimentação e Testes A/B Orientados a Dados. O treinamento abrange tópicos de nível intermediário, exercícios práticos e construção de projetos completos. Indicado para profissionais que desejam dominar ferramentas modernas e padrões consolidados em Ciência de Dados.",Eng. Bruno César Pires
50,Solucionando Desafios do Dia a Dia em Arquitetura RAG e Recuperação Semântica,Vídeo,Inteligência Artificial,Básico,45,2024-09-24,"Vídeo prático e objetivo apresentando a aplicação de Arquitetura RAG e Recuperação Semântica. Em formato hands-on com nível básico, o conteúdo demonstra resolução de problemas reais, passo a passo detalhado e dicas essenciais de implementação para acelerar seu domínio em Inteligência Artificial.",Prof. Gabriel Santana Ribeiro
51,Formação Prática em Estatística Descritiva e Inferencial para Decisão: Fundamentos e Aplicação,Curso,Ciência de Dados,Intermediário,892,2024-12-31,"Neste curso aprofundado, você aprenderá de forma estruturada sobre Estatística Descritiva e Inferencial para Decisão. O treinamento abrange tópicos de nível intermediário, exercícios práticos e construção de projetos completos. Indicado para profissionais que desejam dominar ferramentas modernas e padrões consolidados em Ciência de Dados.",Dra. Mariana Vasconcelos
52,Arquitetura & Código Ep. 109: Inovações em Análise Exploratória de Dados com Pandas,Podcast,Ciência de Dados,Avançado,70,2026-04-11,"Episódio enriquecedor com debates aprofundados sobre Análise Exploratória de Dados com Pandas. Nesta gravação para o público de nível avançado, especialistas compartilham experiências práticas, desafios reais do mercado e reflexões sobre impactos estratégicos e técnicos em Ciência de Dados.",Eng. Bruno César Pires
53,Melhores Práticas e Arquitetura de Orquestração de Workflows com Apache Airflow,Vídeo,Engenharia de Dados,Intermediário,40,2024-01-30,"Vídeo prático e objetivo apresentando a aplicação de Orquestração de Workflows com Apache Airflow. Em formato hands-on com nível intermediário, o conteúdo demonstra resolução de problemas reais, passo a passo detalhado e dicas essenciais de implementação para acelerar seu domínio em Engenharia de Dados.",Prof. Lucas Fernandes Prado
54,Formação Prática em Orquestração de Microsserviços com Kubernetes: Fundamentos e Aplicação,Curso,DevOps & Cloud,Intermediário,1144,2024-06-06,"Neste curso aprofundado, você aprenderá de forma estruturada sobre Orquestração de Microsserviços com Kubernetes. O treinamento abrange tópicos de nível intermediário, exercícios práticos e construção de projetos completos. Indicado para profissionais que desejam dominar ferramentas modernas e padrões consolidados em DevOps & Cloud.",Dr. Fernando Zanin Pacheco
55,Solucionando Desafios do Dia a Dia em Armazenamento de Documentos com MongoDB,Vídeo,Banco de Dados,Intermediário,34,2025-01-25,"Vídeo prático e objetivo apresentando a aplicação de Armazenamento de Documentos com MongoDB. Em formato hands-on com nível intermediário, o conteúdo demonstra resolução de problemas reais, passo a passo detalhado e dicas essenciais de implementação para acelerar seu domínio em Banco de Dados.",Eng. Patrícia Moreira Viana
56,Estudo Técnico e Decisões de Arquitetura em Processamento de Linguagem Natural (PLN),Artigo,Inteligência Artificial,Intermediário,22,2025-06-15,"Artigo técnico detalhado que explora Processamento de Linguagem Natural (PLN) sob uma ótica técnica e conceitual. Focado em nível intermediário, aborda trade-offs arquiteturais, vantagens competitivas, padrões recomendados e diretrizes fundamentais para especialistas que atuam em Inteligência Artificial.",Dr. André Luiz Carvalho
57,Guia Definitivo e Boas Práticas sobre Governança de Dados para Aplicações de IA,Artigo,Segurança & Governança,Intermediário,29,2024-03-30,"Artigo técnico detalhado que explora Governança de Dados para Aplicações de IA sob uma ótica técnica e conceitual. Focado em nível intermediário, aborda trade-offs arquiteturais, vantagens competitivas, padrões recomendados e diretrizes fundamentais para especialistas que atuam em Segurança & Governança.",Prof. Diego Henrique Barros
58,Como Obter Alta Performance Utilizando Modelagem e Agregações Analíticas no SQL Lab,Artigo,Business Intelligence,Básico,21,2025-07-29,"Artigo técnico detalhado que explora Modelagem e Agregações Analíticas no SQL Lab sob uma ótica técnica e conceitual. Focado em nível básico, aborda trade-offs arquiteturais, vantagens competitivas, padrões recomendados e diretrizes fundamentais para especialistas que atuam em Business Intelligence.",Dra. Juliana Martins Fontes
59,Princípios Essenciais e Arquitetura de Auditoria e Monitoramento de Logs de Acesso,Artigo,Segurança & Governança,Intermediário,30,2025-04-19,"Artigo técnico detalhado que explora Auditoria e Monitoramento de Logs de Acesso sob uma ótica técnica e conceitual. Focado em nível intermediário, aborda trade-offs arquiteturais, vantagens competitivas, padrões recomendados e diretrizes fundamentais para especialistas que atuam em Segurança & Governança.",Dr. André Luiz Carvalho
60,Estudo Técnico e Decisões de Arquitetura em Ambientes Reprodutíveis para Aplicações de Dados,Artigo,DevOps & Cloud,Avançado,9,2025-03-28,"Artigo técnico detalhado que explora Ambientes Reprodutíveis para Aplicações de Dados sob uma ótica técnica e conceitual. Focado em nível avançado, aborda trade-offs arquiteturais, vantagens competitivas, padrões recomendados e diretrizes fundamentais para especialistas que atuam em DevOps & Cloud.",Profa. Carla Antunes Silveira
61,Como Implementar Testes Automatizados e TDD com Pytest Passo a Passo,Vídeo,Programação & Software,Intermediário,47,2026-05-11,"Vídeo prático e objetivo apresentando a aplicação de Testes Automatizados e TDD com Pytest. Em formato hands-on com nível intermediário, o conteúdo demonstra resolução de problemas reais, passo a passo detalhado e dicas essenciais de implementação para acelerar seu domínio em Programação & Software.",Eng. Vanessa Cristina Ramos
62,Como Obter Alta Performance Utilizando Integração Híbrida PostgreSQL e NoSQL MongoDB,Artigo,Banco de Dados,Avançado,15,2024-05-26,"Artigo técnico detalhado que explora Integração Híbrida PostgreSQL e NoSQL MongoDB sob uma ótica técnica e conceitual. Focado em nível avançado, aborda trade-offs arquiteturais, vantagens competitivas, padrões recomendados e diretrizes fundamentais para especialistas que atuam em Banco de Dados.",Eng. Bruno César Pires
63,Especialização em Storytelling com Dados para Apresentações Executivas com Projetos Práticos,Curso,Business Intelligence,Avançado,2836,2024-01-23,"Neste curso aprofundado, você aprenderá de forma estruturada sobre Storytelling com Dados para Apresentações Executivas. O treinamento abrange tópicos de nível avançado, exercícios práticos e construção de projetos completos. Indicado para profissionais que desejam dominar ferramentas modernas e padrões consolidados em Business Intelligence.",Eng. Bruno César Pires
64,Estudo Técnico e Decisões de Arquitetura em Tipagem Estática e Boas Práticas com Mypy,Artigo,Programação & Software,Básico,21,2024-08-02,"Artigo técnico detalhado que explora Tipagem Estática e Boas Práticas com Mypy sob uma ótica técnica e conceitual. Focado em nível básico, aborda trade-offs arquiteturais, vantagens competitivas, padrões recomendados e diretrizes fundamentais para especialistas que atuam em Programação & Software.",Dr. Marcelo Silveira Neves
65,Princípios Essenciais e Arquitetura de Conteinerização com Docker e Docker Compose,Artigo,DevOps & Cloud,Intermediário,13,2025-07-26,"Artigo técnico detalhado que explora Conteinerização com Docker e Docker Compose sob uma ótica técnica e conceitual. Focado em nível intermediário, aborda trade-offs arquiteturais, vantagens competitivas, padrões recomendados e diretrizes fundamentais para especialistas que atuam em DevOps & Cloud.",Eng. Patrícia Moreira Viana
66,Melhores Práticas e Arquitetura de Escalabilidade e Gestão de Custos em Cloud,Vídeo,DevOps & Cloud,Avançado,105,2026-05-21,"Vídeo prático e objetivo apresentando a aplicação de Escalabilidade e Gestão de Custos em Cloud. Em formato hands-on com nível avançado, o conteúdo demonstra resolução de problemas reais, passo a passo detalhado e dicas essenciais de implementação para acelerar seu domínio em DevOps & Cloud.",Prof. Diego Henrique Barros
67,Guia Definitivo e Boas Práticas sobre Pipelines de Ingestão Batch e Streaming,Artigo,Engenharia de Dados,Básico,15,2024-01-19,"Artigo técnico detalhado que explora Pipelines de Ingestão Batch e Streaming sob uma ótica técnica e conceitual. Focado em nível básico, aborda trade-offs arquiteturais, vantagens competitivas, padrões recomendados e diretrizes fundamentais para especialistas que atuam em Engenharia de Dados.",Profa. Beatriz Helena Nogueira
